Recipe,Base,Ingredients
PlantSmoky1,plant,"Extra-firm tofu 5g, liquid smoke 5g, smoked paprika 5g , maple syrup 2g, soy sauce 2g, minced garlic 2g, olive oil 2g"
PlantSmoky2,plant,"Seitan 2g, chipotle peppers in adobo 2g, liquid smoke 2g, smoked paprika 2g, tamari 2g, garlic powder 2g, olive oil 2g"
PlantSmoky3,plant,"Tempeh 2g, liquid smoke 2g, barbecue sauce 2g, smoked paprika 2g, soy sauce 2g, minced garlic 2g, olive oil 2g"
MeatSmoky1,meat,"Chicken thighs 2g, liquid smoke2g, smoked paprika 2g, barbecue sauce 2g, minced garlic 2g, olive oil 2g"
MeatSmoky2,meat,"Pork ribs 5g, liquid smoke 5g, honey 5g, mesquite seasoning 5g, barbecue sauce 5g, minced garlic 5g, olive oil 5g"
MeatSmoky3,meat,"Beef strips 5g, liquid smoke 5g, smoked paprika 5g, teriyaki sauce 5g, garlic powder 5g, olive oil 5g"
PlantTaco1,plant,"Soy crumbles 5g, Paprika 5g, Cumin 5g, Black pepper 5g, Garlic powder 5g, Oregano 5g, Lime 5g, corn tortillas 5g, lettuce 5g, tomato 5g, pickled red onions 5g, cilantro 5g, lime wedges 5g"
PlantTaco2,plant,"Lentils 5g, mushrooms 5g, Paprika 5g, Cumin 5g, Black pepper 5g, Garlic powder 5g, Oregano 5g, Lime 5g, corn tortillas 5g, lettuce 5g, tomato 5g, onion 5g, avocado 5g, lime juice 5g"
PlantTaco3,plant,"Black beans 5g, corn 5g, Paprika 5g, Cumin 5g, Black pepper 5g, Garlic powder 5g, Oregano 5g, Lime 5g, brown rice 5g, lettuce 5g, tomato 5g, onion 5g, salsa 5g, guacamole 5g"
MeatTaco1,meat,"Ground beef 5g, paprika 5g, cumin 5g, black pepper 5g, garlic powder 5g, oregano 5g, lime 5g, corn tortillas 5g, lettuce 5g, tomato 5g, onion 5g, cheese 5g, salsa 5g"
MeatTaco2,meat,"Shredded chicken 5g, paprika 5g, cumin 5g, black pepper 5g, garlic powder 5g, oregano 5g, lime 5g, brown rice 5g, lettuce 5g, tomato 5g, onion 5g, cheese 5g, salsa 5g, guacamole 5g"
MeatTaco3,meat,"Ground turkey 5g, black beans 5g, paprika 5g, cumin 5g, black pepper 5g, garlic powder 5g, oregano 5g, lime 5g, corn tortillas 5g, lettuce 5g, tomato 5g, onion 5g, avocado 5g"
PlantAsian1,plant,"Extra-firm tofu 5g, soy sauce 5g, ginger 5g, garlic 5g, sesame oil 5g, green onions 5g, broccoli 5g, rice 5g"
PlantAsian2,plant,"Rice paper 5g, carrots 5g, cucumber 5g, bell peppers 5g, tofu 5g, peanut sauce 5g"
PlantAsian3,plant,"Edamame noodles 5g, shiitake mushrooms 5g, soy sauce 5g, garlic 5g, sesame oil 5g, green onions 5g"
MeatAsian1,meat,"Chicken strips 5g, soy sauce 5g, ginger 5g, garlic 5g, sesame oil 5g, green onions 5g, broccoli 5g, rice 5g"
MeatAsian2,meat,"Beef strips 5g, teriyaki sauce 5g, broccoli 5g, soy sauce 5g, garlic 5g, ginger 5g, rice 5g"
MeatAsian3,meat,"Shrimp 5g, rice noodles 5g, tamarind paste 5g, fish sauce 5g, lime 5g, peanuts 5g, bean sprouts 5g"
PlantBasic1,plant,"Chickpeas 5g, spinach 5g, curry powder 5g, coconut milk 5g, garlic 5g, onion 5g, rice 5g"
PlantBasic2,plant,"Lentils 5g, carrots 5g, potatoes 5g, bell peppers 5g, vegetable broth 5g, garlic 5g, onion 5g, cumin 5g, coriander 5g, tomato 5g"
PlantBasic3,plant,"Quinoa 5g, zucchini 5g, bell peppers 5g, cherry tomatoes 5g, olive oil 5g, lemon 5g, garlic 5g"
MeatBasic1,meat,"Ground beef 5g, tomato sauce 5g, garlic 5g, onion 5g, Italian herbs 5g, pasta 5g"
MeatBasic2,meat,"Chicken breast 5g, carrots 5g, potatoes 5g, bell peppers 5g, olive oil 5g, garlic 5g, rosemary 5g"
MeatBasic3,meat,"Beef strips 5g, carrots 5g, potatoes 5g, bell peppers 5g, soy sauce 5g, garlic 5g, ginger 5g, rice 5g"
